Province/State,Country/Region,Lat,Long,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20
,Malaysia,4.2105,101.9758,,,,,3,4,4,7,7,8,8,8,8,8,10,12,12,12,16,18,18,18,18,19,19,22,22,22,22,22,22
"Toronto, ON",Canada,43.6532,-79.3832,,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
British Columbia,Canada,49.2827,-123.121,,,,,,,,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5
"Orange, CA",US,33.7879,-117.8531,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Los Angeles, CA",US,34.0522,-118.2437,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New South Wales,Australia,-33.8688,151.2093,,,,,,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Victoria,Australia,-37.8136,144.9631,,,,,,1,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Queensland,Australia,-27.4698,153.0251,,,,,,,,,1,2,2,2,2,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,Cambodia,12.5657,104.991,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Sri Lanka,7.8731,80.7718,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Germany,51.1657,10.4515,,,,,,,1,4,4,4,5,7,10,10,12,12,12,13,13,14,14,16,16,16,16,16,16,16,16,16,16
,Finland,61.9241,25.7482,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,United Arab Emirates,23.4241,53.8478,,,,,,,,,4,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,8,8,9,9,9,9,9
,Philippines,12.8797,121.774,,,,,,,,,,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,India,20.5937,78.9629,,,,,,,,,,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"London, ON",Canada,42.9849,-81.2453,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Italy,41.8719,12.5674,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,UK,55.3781,-3.436,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,8,8,9,9,9,9,9,9,9,9,9
,Russia,61.524,105.3188,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Sweden,60.1282,18.6435,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Santa Clara, CA",US,37.3541,-121.9552,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Spain,40.4637,-3.7492,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
South Australia,Australia,-34.9285,138.6007,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Boston, MA",US,42.3601,-71.0589,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"San Benito, CA",US,36.5761,-120.9876,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Belgium,50.5039,4.4699,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Madison, WI",US,43.0731,-89.4012,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diamond Princess cruise ship,Others,35.4437,129.638,,,,,,,,,,,,,,,,,,61,61,64,135,135,175,218,218,285,355,454,542,621,634
"San Diego County, CA",US,32.7157,-117.1611,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2
"San Antonio, TX",US,29.4241,-98.4936,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
